,Line Item Quantity,Freight Cost (USD),Vendor,meds
0,19,780.34,56,OCP.
1,1000,4521.5,13,Cardura
2,500,1653.78,12,methadone
3,31920,16007.06,64,Veranique
4,38000,45450.08,13,ramipril 5mg 1 qd
5,416,5920.42,13,LYRICA
6,135,11103.234819296562,42,Glycopyrrolate
7,16667,6212.41,13,magnesium chloride
8,273,11103.234819296562,13,Blisovi (birth control)
9,2800,11103.234819296562,2,Irbestartan/hctz 300-12.5mg
10,2800,11103.234819296562,2,Birth Control
11,2500,13569.49,70,lisino
12,10,11103.234819296562,25,Diltiazem ER
13,10000,64179.42,22,not an adverse reaction)
14,750,1760.32,12,clobazam
15,579,11103.234819296562,18,Do not have info on OTC or Dietary supplements
16,1500,11103.234819296562,5,000 daily PO 5) Tylenol 650mg every 4 hrs prn 6) Advil 800mg every 8-12 hours prn
17,2000,3120.7,54,baby aspirin vitamin D
18,712,912.96,18,Fentanyl Transdermal
19,1000,2682.47,12,pindolol
20,7500,15893.71,21,Levothyroxine 100 mg 1vx daily
21,5513,11103.234819296562,18,duelra
22,1000,4193.49,13,Spironolactone 50mg BID
23,500,1767.38,2,mild high blood pressure medication.  Amitrptaline
24,750,3518.38,50,Montelukast 10 MG daily
25,25,3097.85,49,levetiracetam
26,10000,27869.74,67,estimated due date august 22
27,10000,28461.1,67,saline nas
28,10000,28359.8,67,Flomax
29,64000,12237.61,13,Sertraline Hci 25mg
30,10000,20885.78,21,cinacalcet
31,40,11103.234819296562,38,Turmeric tincture
32,1000,2282.57,26,lisinopriL
33,400,2149.05,64,Chlothalidne
34,1500,0.75,50,Amlodipine Omeprazole
35,650,11103.234819296562,50,ranitidine
36,200,11103.234819296562,38,p.m. Alprazolam    0.25mg     1 x night Valacyclovir    1g    3x day for 7 days for flare-ups Amitriptyline    10mg    2x day  Elmiron     100mg    3x day Tamsulosin    0.4 mg    1x day Myrbetriq
37,2,11103.234819296562,70,digoxin
38,476,5446.51,15,ipratropium
39,659,2656.12,67,soul-medrol and Benadryl via IV.
40,240,11103.234819296562,50,once per day Atorvastatin
41,213,360.0,50,finasteride 5 mg
42,63,11103.234819296562,69,MESALAZINE
43,1634,4112.46,50,women's health supplement
44,1425,5468.88,21,Miralax
45,142,1715.17,50,Vitamin
46,8400,4051.34,46,albuterol HFA 90 mcg/actuation inhaler Prn amitriptyline 75 mg tablet Po daily Amphetamine-Dextroamphetamine 30 mg tablet  buPROPion XL 300 mg 24 hr tablet  Cholecalciferol (Vitamin D3) 50 mcg (2
47,6,11103.234819296562,58,Metoprolol 25mg
48,600,11103.234819296562,58,Losartan-HCTZ
49,400,2211.05,18,Enteric ASA
50,6,11103.234819296562,58,metoprolol 25
51,5498,16090.22,50,B-Complex
52,5498,11103.234819296562,50,ometrosval
53,15,11103.234819296562,69,Vitamin D with Calcium
54,1344,13507.92,46,Furosemide 20 mg
55,20,11103.234819296562,58,Benadryl 50mg PO QHS PRN
56,100,11103.234819296562,58,Isosorbide mononitrate
57,670,11103.234819296562,58,omeprazole Gabapentin
58,2597,645.1,18,DAILY MULTI VITAMIN
59,28,782.13,49,ATACAND
60,84,871.57,70,NP Thyroid Tablets 45Mg Prometrium Capsules 100 mg Estradiol Transdermal System
61,30,11103.234819296562,58,Cosopt
62,38640,18614.72,13,glucosamine/msm
63,34,1755.87,31,Ranitidine
64,42000,10179.16,13,CELEBREX; buspar
65,50,11103.234819296562,58,Sennoside
66,16800,4686.88,46,Trazodone 75mg QHS
67,98,180.0,72,tumeric pemetrexed/pembrolizumab - 12 doses
68,4500,11062.05,50,Furosemide.
69,10,11103.234819296562,70,potassium chloride
70,500,11298.13,15,Tricor
71,25000,12830.91,31,donepezil
72,9,11103.234819296562,42,Loratadine
73,150,2698.04,50,polyethylene glycol packet
74,15,578.01,70,Fluticasone Propionate
75,319,1122.24,67,81mg ASA
76,80,11103.234819296562,58,Amlodipine 10mg QD
77,120,11103.234819296562,58,VIT D 2000U
78,600,11103.234819296562,58,d and Zinc   Monocycline  . probiotic
79,7,11103.234819296562,58,L-THYROXINE
80,40,11103.234819296562,58,Raloxifene 60 mg
81,108,11103.234819296562,72,dalfampridine 10 mg BID
82,50000,9339.0,42,CITALOPRAM 10MG
83,140,25405.22,31,LOVASTATIN
84,5700,23914.8,70,Ubiquinol CQ-10
85,5964,12835.2,13,Spirolactone
86,21000,11103.234819296562,13,Metamucil
87,10560,4225.93,22,Multiple Vitamins(multivitamin) tablet 1 tablet by mouth once a day aspirin(aspirin) 81 mg tablet
88,2352,892.5,13,amlopidine 10 mg
89,524,6668.61,2,tylenol ES as needed
90,2094,11103.234819296562,2,OTC;  Allegra
