,ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Suggest count,Delivery Time,Shipment Cost,lat,long,db_cluster,Supply score
0,1,100-CI-T01,Pre-PQ Process,SCMS-4,ASN-8,Côte d'Ivoire,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2006-06-02,2-Jun-06,2-Jun-06,HRDT,HIV test,56,OCP.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,,Test kit,30,19,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,13,780.34,,665,31,3.159271255060729,24.25216005110323,62.08901659224073,0,839.4992712550608
1,3,108-VN-T01,Pre-PQ Process,SCMS-13,ASN-85,Vietnam,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2006-11-14,14-Nov-06,14-Nov-06,ARV,Pediatric,13,Cardura,Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,6200.0,6.2,0.03,"Aurobindo Unit III, India",Yes,358,4521.5,,308,196,0.012629888268156425,17.46605305,78.38315469438473,1,4535.512629888268
2,4,100-CI-T01,Pre-PQ Process,SCMS-20,ASN-14,Côte d'Ivoire,PMO - US,Direct Drop,FCA,0,Pre-PQ Process,2006-05-02,2006-08-27,27-Aug-06,27-Aug-06,HRDT,HIV test,12,methadone,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,500,40000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,171,1653.78,,977,117,0.019342456140350878,24.25216005110323,62.08901659224073,0,1665.7993424561403
3,15,108-VN-T01,Pre-PQ Process,SCMS-78,ASN-50,Vietnam,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2006-09-01,1-Sep-06,1-Sep-06,ARV,Adult,64,Veranique,Lamivudine,Generic,150mg,Tablet,60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",Yes,1855,16007.06,,807,122,0.00027033655567490153,24.25216005110323,62.08901659224073,0,16071.060270336555
4,16,108-VN-T01,Pre-PQ Process,SCMS-81,ASN-55,Vietnam,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2006-08-11,11-Aug-06,11-Aug-06,ARV,Adult,13,ramipril 5mg 1 qd,Stavudine,Generic,30mg,Capsule,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",Yes,7590,45450.08,,915,101,0.0001575829692809098,17.46605305,78.38315469438473,1,45464.08015758297
5,23,112-NG-T01,Pre-PQ Process,SCMS-87,ASN-57,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2006-09-28,28-Sep-06,28-Sep-06,ARV,Pediatric,13,LYRICA,Zidovudine,Generic,10mg/ml,Oral solution,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,504,5920.42,,980,149,0.028237656440781442,17.46605305,78.38315469438473,1,5934.448237656441
6,44,110-ZM-T01,Pre-PQ Process,SCMS-139,ASN-130,Zambia,PMO - US,Direct Drop,DDU,0,Pre-PQ Process,2006-05-02,2007-01-08,8-Jan-07,8-Jan-07,ARV,Pediatric,42,Glycopyrrolate,Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,135,4374.0,32.4,0.36,MSD South Granville Australia,Yes,328,11103.234819296562,,330,251,0.25075056050805244,24.25216005110323,62.08901659224073,0,11145.48556985707
7,45,109-TZ-T01,Pre-PQ Process,SCMS-140,ASN-94,Tanzania,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2006-11-24,24-Nov-06,24-Nov-06,ARV,Adult,13,magnesium chloride,Nevirapine,Generic,200mg,Tablet,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,1478,6212.41,,838,206,0.0002521902200656934,17.46605305,78.38315469438473,1,6226.41025219022
8,46,112-NG-T01,Pre-PQ Process,SCMS-156,ASN-93,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2006-12-07,7-Dec-06,7-Dec-06,ARV,Adult,13,Blisovi (birth control),Stavudine,Generic,30mg,Capsule,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296562,,70,219,0.011876737307901102,17.46605305,78.38315469438473,1,11117.24669603387
9,47,110-ZM-T01,Pre-PQ Process,SCMS-165,ASN-199,Zambia,PMO - US,Direct Drop,CIP,0,Pre-PQ Process,11/13/06,2007-01-30,30-Jan-07,30-Jan-07,ARV,Adult,2,Irbestartan/hctz 300-12.5mg,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,Yes,643,11103.234819296562,,365,78,0.006167093323315131,24.25216005110323,62.08901659224073,0,11105.240986389885
10,60,110-ZM-T01,Pre-PQ Process,SCMS-221,ASN-223,Zambia,PMO - US,Direct Drop,CIP,0,Pre-PQ Process,12/1/06,2007-02-16,16-Feb-07,16-Feb-07,ARV,Adult,2,Birth Control,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,643,11103.234819296562,,232,77,0.006167093323315131,49.47470885,8.437682841085376,2,11107.240986389885
11,61,110-ZM-T01,Pre-PQ Process,SCMS-226,ASN-137,Zambia,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2007-01-08,8-Jan-07,8-Jan-07,HRDT,HIV test,70,lisino,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,2500,100000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,853,13569.49,,758,251,0.006363184056271981,24.25216005110323,62.08901659224073,0,13639.496363184056
